H-ID,type_id,URI,digitization_of H-ID,IIIF,ARK
45061,126,https://gallica.bnf.fr/ark:/12148/btv1b52518159w,[45047],https://gallica.bnf.fr/iiif/ark:/12148/btv1b52518159w/manifest.json,ark:/12148/btv1b52518159w
46308,126,https://dlib.gnm.de/item/Hs18423/1,[46306],,
46350,126,http://hdl.handle.net/1887.1/item:1606657,[46346],https://digitalcollections.universiteitleiden.nl/iiif_manifest/item%3A1606657/manifest,
46358,126,https://opac.kbr.be/LIBRARY/doc/SYRACUSE/15937847,[46354],,
46400,126,https://archieven.stadsarchief.breda.nl/detail.php?nav_id=0-1&id=2134430&index=0&volgnummer=1&thumb_page=0,[46398],,
46420,126,http://diglib.hab.de/mss/87-4-aug-2f/start.htm,[45214],,
46425,126,https://arca.irht.cnrs.fr/ark:/63955/r8qd0wfpqllt,[46426],https://api.irht.cnrs.fr/ark:/63955/f02i4yq0bqc6/manifest.json,
46432,126,https://gallica.bnf.fr/ark:/12148/btv1b6000093b,[46430],https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000093b/manifest.json,
46439,126,https://arca.irht.cnrs.fr/ark:/63955/r1caulvrij9b,[45398],https://api.irht.cnrs.fr/ark:/63955/fbxnqpmavxoy/manifest.json,ark:/63955/md386h44167c
46440,126,https://arca.irht.cnrs.fr/ark:/63955/md61rf560k98,[45825],https://api.irht.cnrs.fr/ark:/63955/f1u1c2qzz36r/manifest.json,ark:/63955/rd7d9ybjq0d6
46441,126,https://arca.irht.cnrs.fr/ark:/63955/md96k0698t4m,[45305],,ark:/63955/rtqiqlw9m7ri
46442,126,https://arca.irht.cnrs.fr/ark:/63955/md51hh63tb9p,[45301],,ark:/63955/rn0dzi8cyn1p
46443,126,https://arca.irht.cnrs.fr/ark:/63955/md44pk02cp9r,[45535],,ark:/63955/r8mw2xyz4nsn
46444,126,https://arca.irht.cnrs.fr/ark:/63955/md05fb494b8r,[45092],https://api.irht.cnrs.fr/ark:/63955/fm1qf2sogniy/manifest.json,ark:/63955/raca5mt8i4yl
46445,126,https://arca.irht.cnrs.fr/ark:/63955/md311n79h92f,[45096],https://api.irht.cnrs.fr/ark:/63955/f4k8n4c0uiol/manifest.json,ark:/63955/rp3c6birql9s
46446,126,https://arca.irht.cnrs.fr/ark:/63955/md29b5644w8v,[45097],https://api.irht.cnrs.fr/ark:/63955/fjl7tzxusdbq/manifest.json,ark:/63955/rbqvqsdpow05
46447,126,https://arca.irht.cnrs.fr/ark:/63955/md64gm80j238,[45241],,ark:/63955/rwxfrp22i9e7
46448,126,https://arca.irht.cnrs.fr/ark:/63955/md3976539k0f,[45090],https://api.irht.cnrs.fr/ark:/63955/f5lvl6ustz08/manifest.json,ark:/63955/r5np02xa597h
46449,126,https://arca.irht.cnrs.fr/ark:/63955/md236108xk76,[45802],,ark:/63955/r3ky7jcpx7v3
46450,126,https://arca.irht.cnrs.fr/ark:/63955/md236108vq2f,[45533],,ark:/63955/rre07z2qo40s
46451,126,https://arca.irht.cnrs.fr/ark:/63955/md11kh04f81h,[45675],,ark:/63955/r232xo92f33j
46452,126,https://arca.irht.cnrs.fr/ark:/63955/md7634851v8k,[45406],https://api.irht.cnrs.fr/ark:/63955/fdnija8ex78p/manifest.json,ark:/63955/r5etunati8xk
46453,126,https://arca.irht.cnrs.fr/ark:/63955/md246q18666r,[45180],https://api.irht.cnrs.fr/ark:/63955/feltxw079qwq/manifest.json,ark:/63955/rwn55txxx5z8
46454,126,https://arca.irht.cnrs.fr/ark:/63955/md16c247dw2t,[45245],https://api.irht.cnrs.fr/ark:/63955/fvmpo5o6wwg5/manifest.json,ark:/63955/rfw6lj26pntc
46456,126,https://arca.irht.cnrs.fr/ark:/63955/md96k069bh58,[45334],https://api.irht.cnrs.fr/ark:/63955/ft2hqvix1ana/manifest.json,ark:/63955/rbmtpsxgfsap
46458,126,https://arca.irht.cnrs.fr/ark:/63955/md02c821jz93,[46130],https://api.irht.cnrs.fr/ark:/63955/fnp2wafykgpj/manifest.json,ark:/63955/rzg5zmh9ie61
46459,126,https://arca.irht.cnrs.fr/ark:/63955/md19s1786m3w,[45318],https://api.irht.cnrs.fr/ark:/63955/fdxq2pig2p1i/manifest.json,ark:/63955/r7icbu7sbz40
46460,126,https://arca.irht.cnrs.fr/ark:/63955/md225999nj13,[45297],,ark:/63955/rcfx0auqbgta
46461,126,https://arca.irht.cnrs.fr/ark:/63955/md95w6634n3v,[45262],,ark:/63955/rd4lsoyz6ilb
46464,126,https://arca.irht.cnrs.fr/ark:/63955/md09w0892c9t,[45081],https://api.irht.cnrs.fr/ark:/63955/fwvkx5ah7jgx/manifest.json,ark:/63955/realu7144mqs
46465,126,https://arca.irht.cnrs.fr/ark:/63955/md0000000265,[45239],,ark:/63955/reynm7galdbl
46466,126,https://arca.irht.cnrs.fr/ark:/63955/md300z708z8g,[45315],https://api.irht.cnrs.fr/ark:/63955/fr1dgmfio4zw/manifest.json,ark:/63955/rg0v4s861jeq
46467,126,https://arca.irht.cnrs.fr/ark:/63955/md27zk51vz58,[45230],https://api.irht.cnrs.fr/ark:/63955/fmnhmg9ac3d1/manifest.json,ark:/63955/recsz5itptcn
46468,126,https://arca.irht.cnrs.fr/ark:/63955/md892801q151,[45397],https://api.irht.cnrs.fr/ark:/63955/fbnt5nlifrfp/manifest.json,ark:/63955/ryyottflfhpf
46469,126,https://arca.irht.cnrs.fr/ark:/63955/md86nz808648,[45307],,ark:/63955/r8rjmgslqm8v
46470,126,https://arca.irht.cnrs.fr/ark:/63955/md268336h32b,[45270],https://api.irht.cnrs.fr/ark:/63955/fsvzptwicviq/manifest.json,ark:/63955/rrk4apjsuacs
46472,126,https://arca.irht.cnrs.fr/ark:/63955/md741r66jh8d,[45539],,ark:/63955/r0w97ptb2x7o
46473,126,https://arca.irht.cnrs.fr/ark:/63955/md30bv73cd38,[45399],https://api.irht.cnrs.fr/ark:/63955/fyze81p70u45/manifest.json,ark:/63955/rpbirqm2v94w
46474,126,https://arca.irht.cnrs.fr/ark:/63955/md763484zr8d,[45095],https://api.irht.cnrs.fr/ark:/63955/fofe7a9l4mkv/manifest.json,ark:/63955/rmy52703xz1n
46475,126,https://arca.irht.cnrs.fr/ark:/63955/md58pc289p0f,[46157],https://api.irht.cnrs.fr/ark:/63955/fh1zl64n4gdz/manifest.json,ark:/63955/rpwew5ytjt8w
46476,126,https://arca.irht.cnrs.fr/ark:/63955/md73pv63g408,[46125],,ark:/63955/r0sme861cqkg
46477,126,https://arca.irht.cnrs.fr/ark:/63955/md9673666g7t,[45179],,ark:/63955/r78cpr2lwz6g
46478,126,https://arca.irht.cnrs.fr/ark:/63955/md268336kj4q,[45088],https://api.irht.cnrs.fr/ark:/63955/f235y38rcfgp/manifest.json,ark:/63955/rbd8iiiukd34
46479,126,https://arca.irht.cnrs.fr/ark:/63955/md655d86p718,[45094],https://api.irht.cnrs.fr/ark:/63955/fezrhsbzwb1y/manifest.json,ark:/63955/rid093ogewps
46480,126,https://arca.irht.cnrs.fr/ark:/63955/md171v53k18q,[45091],,ark:/63955/r14y59jdg1r4
46481,126,https://arca.irht.cnrs.fr/ark:/63955/md38w950539k,[45240],,ark:/63955/rw0qmq50tbyi
