H-ID,type_id,current_shelfmark,location H-ID,collection,invented_label,is_hypothetical,is_hypothetical TRM-ID,claim_freetext,collection_of_fragments,collection_of_fragments TRM-ID,old_shelfmark,digitization H-ID,digitization_freetext,date_of_creation,date_freetext,date_of_creation_source,place_of_creation H-ID,place_of_creation_freetext,place_of_creation_source,described_by_source H-ID,described_at_URL,online_catalogue_URL,ARK,reference_notes,review_status,review_status TRM-ID,review_note
45047,106,Ms-2983,43932.0,Arsenal,,No,9483,,No,9498,"[Belles-lettres françaises, 180 (180 B. F)]",[45061],[https://gallica.bnf.fr/ark:/12148/btv1b52518159w],,,,,,,[],"[https://data.biblissima.fr/w/Item:Q114644, https://arlima.net/no/7965]",https://archivesetmanuscrits.bnf.fr/ark:/12148/cc83713h,ark:/12148/cc83713h,[],Open,9698,
45076,106,Beinecke MS 229,43722.0,,,unknown,9770,,unknown,9535,[],[],[https://collections.library.yale.edu/mirador/2004282],,,,,,,[],[],https://collections.library.yale.edu/catalog/2004282,,[],Open,9698,
45077,106,Takamiya MS 42,43722.0,,,unknown,9770,,unknown,9535,[],[],[https://collections.library.yale.edu/mirador/16155935],,,,,,,[],[],https://collections.library.yale.edu/catalog/16155935,,[],Open,9698,
45078,106,Reg.lat.738,43760.0,,,unknown,9770,,unknown,9535,[],[],[https://digi.vatlib.it/view/MSS_Reg.lat.738],,,,,,,[],[],,,[],Open,9698,
45080,106,620,43814.0,,,No,9483,,unknown,9535,[261],[],[],,,,,,,[],[],https://ccfr.bnf.fr/portailccfr/jsp/index_view_direct_anonymous.jsp?record=eadcgm:EADC:D17013084,,[],Open,9698,
45081,106,419,43814.0,,,No,9483,,unknown,9535,[411],[46464],[],,,,,,,[],[],https://ccfr.bnf.fr/portailccfr/jsp/index_view_direct_anonymous.jsp?record=eadcgm:EADC:D17012078,,[],Open,9698,
45082,106,MS Charles Fairfax Murray 20,43815.0,Charles Fairfax Murray,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],https://data.fitzmuseum.cam.ac.uk/id/object/239514,,[],Open,9698,
45083,106,MS McClean 179,43815.0,McClean,,unknown,9770,,unknown,9535,[],[],[https://data.fitzmuseum.cam.ac.uk/images/id/170729],,,,,,,[],[],https://data.fitzmuseum.cam.ac.uk/id/object/170729,,[],Open,9698,
45084,106,MS 302,43815.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],https://data.fitzmuseum.cam.ac.uk/id/object/239373,,[],Open,9698,
45085,106,V.u.16 (anc. 46),43838.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45086,106,V.u.20 (anc. 51),43838.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45087,106,Vu 14,43838.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45088,106,Ms 652,43840.0,,,No,9483,,unknown,9535,[Ms 1082],[46478],[],,,,,,,[],[],https://ccfr.bnf.fr/portailccfr/jsp/index_view_direct_anonymous.jsp?record=eadcalames:EADC:IF3011074,,[],Open,9698,
45089,106,Reg.lat.1360,43760.0,,,unknown,9770,,unknown,9535,[],[],[https://digi.vatlib.it/view/MSS_Reg.lat.1360],,,,,,,[],[],,,[],Open,9698,
45090,106,Ms 650,43840.0,,,No,9483,,unknown,9535,[Ms 1437],[46448],[],,,,,,,[],[],https://ccfr.bnf.fr/portailccfr/jsp/index_view_direct_anonymous.jsp?record=eadcalames:EADC:IF3011072,,[],Open,9698,
45091,106,Ms 470,43840.0,,,unknown,9770,,unknown,9535,[Ms 703],[46480],[],,,,,,,[],[],https://ccfr.bnf.fr/portailccfr/jsp/index_view_direct_anonymous.jsp?record=eadcalames:EADC:IF3010829,,[],Open,9698,
45092,106,Ms 644,43840.0,,,No,9483,,unknown,9535,[Ms 1081],[46444],[],,,,,,,[],[],https://ccfr.bnf.fr/portailccfr/jsp/index_view_direct_anonymous.jsp?record=eadcalames:EADC:IF3011068,,[],Open,9698,
45093,106,Ms 476,43840.0,,,No,9483,,unknown,9535,[Ms 644],[],[],,,,,,,[],[],https://ccfr.bnf.fr/portailccfr/jsp/index_view_direct_anonymous.jsp?record=eadcalames:EADC:IF3010852,,[],Open,9698,
45094,106,Ms 472,43840.0,,,No,9483,,unknown,9535,[Ms 626],[46479],[],,,,,,,[],[],ttps://ccfr.bnf.fr/portailccfr/jsp/index_view_direct_anonymous.jsp?record=eadcalames:EADC:IF3010831,,[],Open,9698,
45095,106,Ms 649,43840.0,,,No,9483,,unknown,9535,[Ms 1111],[46474],[],,,,,,,[],[],https://ccfr.bnf.fr/portailccfr/jsp/index_view_direct_anonymous.jsp?record=eadcalames:EADC:IF3011071,,[],Open,9698,
45096,106,Ms 643,43840.0,,,No,9483,,unknown,9535,[Ms 307],[46445],[],,,,,,,[],[],https://ccfr.bnf.fr/portailccfr/jsp/index_view_direct_anonymous.jsp?record=eadcalames:EADC:IF3011067,,[],Open,9698,
45097,106,Ms 490,43840.0,,,No,9483,,unknown,9535,[Ms 465],[46446],[],,,,,,,[],[],https://ccfr.bnf.fr/portailccfr/jsp/index_view_direct_anonymous.jsp?record=eadcalames:EADC:IF3010876,,[],Action required,9697,
45098,106,Ms 497,43840.0,,,No,9483,,unknown,9535,[Ms 1576],[],[],,,,,,,[],[],https://ccfr.bnf.fr/portailccfr/jsp/index_view_direct_anonymous.jsp?record=eadcalames:EADC:IF3010886,,[],Open,9698,
45099,106,Ms 471,43840.0,,,No,9483,,unknown,9535,[Ms 618],[],[],,,,,,,[],[],https://ccfr.bnf.fr/portailccfr/jsp/index_view_direct_anonymous.jsp?record=eadcalames:EADC:IF3010830,,[],Open,9698,
45100,106,398,43761.0,,,No,9483,,unknown,9535,[],[],[],,,,,,,[],[],https://ccfr.bnf.fr/portailccfr/jsp/index_view_direct_anonymous.jsp?record=eadcgm:EADC:D01021247,,[],Open,9698,
45101,106,1237,43850.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45102,106,342,43850.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45103,106,M III 21,43852.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45104,106,X III 02,43852.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45106,106,P II 22,43852.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45107,106,"cod. lat., class. XI cod. CXXIX.",43854.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45108,106,"fr., Z. 19 (=232)",43854.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45109,106,"fr., No. 5",43854.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45110,106,"fr., Z. 5",43854.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45111,106,6,43762.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45112,106,"fr., Z. 13 (=256)",43854.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45113,106,"fr., Z. 20 (=233)",43854.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45114,106,"fr., Z. 7",43854.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45115,106,"fr., Z. 8 (=252)",43854.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45116,106,"fr., Fr. Z. 21 (=257)",43854.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45117,106,"fr., Z. 16 (= 229)",43854.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45118,106,"fr., Z. 10 (=253)",43854.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45119,106,"fr., Z. 4",43854.0,,,unknown,9770,,unknown,9535,[225],[],[],,,,,,,[],[],,,[],Action required,9697,
45120,106,"fr., Z. 8 (= 52)",43854.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45121,106,"fr., Z. 14",43854.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45122,106,MS M.805,43763.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],http://corsair.themorgan.org/vwebv/holdingsInfo?bibId=147055,,[],Open,9698,
45123,106,XII 255,43854.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45124,106,22(=XXII),43854.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45125,106,15(=XV),43854.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45126,106,18(=XVIII),43854.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45127,106,04(=IV),43854.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45128,106,app. 29(=XXIX),43854.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45129,106,07(=VII),43854.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45130,106,Fr. Z. 6 (=226),43854.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45132,106,Fr. Z. 15,43854.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45133,106,MS M.207-208,43763.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],http://corsair.themorgan.org/vwebv/holdingsInfo?bibId=77100,,[],Open,9698,
45134,106,17(=XVII),43854.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45137,106,11(=XI),43854.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45138,106,Fr. Z. 23 (=234),43854.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45139,106,Fr. Z. 9,43854.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45140,106,12(=XII),43854.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45141,106,TC/CC/2/302,43858.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45142,106,H 0375,43860.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45143,106,2425,43867.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45144,106,MS M.888,43763.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],http://corsair.themorgan.org/vwebv/holdingsInfo?bibId=159530,,[],Open,9698,
45145,106,Inc. A VI 7,43879.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45146,106,2. 0. 5,43891.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45147,106,MS. 1431,43901.0,Cartulaires et manuscrits,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45148,106,MS. 1411,43901.0,Fonds des cartulaires et manuscrits,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45149,106,MS. 1411 C.,43901.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45150,106,MS 212,43918.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],http://library.catalogue.tcd.ie/record=b20677262,,[],Open,9698,
45151,106,"Fonds Ulysse Capitaine, 133",43934.0,Fonds Ulysse Capitaine,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45152,106,Thott 1087 kvart,43960.0,,,No,9483,,unknown,9535,[],[],[],,,,,,,[],[],https://soeg.kb.dk/permalink/45KBDK_KGL/1pioq0f/alma99122840731105763,,[],Open,9698,
45153,106,GKS 3555 oktav,43960.0,,,No,9483,,unknown,9535,[],[],[],,,,,,,[],[],https://soeg.kb.dk/permalink/45KBDK_KGL/1pioq0f/alma99122139879105763,,[],Open,9698,
45154,106,866,43972.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45155,106,MS M.806,43763.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],http://corsair.themorgan.org/vwebv/holdingsInfo?bibId=185423,,[],Open,9698,
45156,106,2759,43972.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45157,106,2943,43972.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45158,106,2757,43972.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45159,106,2433,43972.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45160,106,2756,43972.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45161,106,330/215,43988.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45162,106,331/206,43988.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45163,106,061/190,43988.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45164,106,"Arch., 320",43993.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45165,106,78 C 1,43997.0,,,No,9483,,No,9498,[],[],[],,,,,,,[],[],https://id.smb.museum/object/955973,,[],Open,9698,
45166,106,MS M.916,43763.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],http://corsair.themorgan.org/vwebv/holdingsInfo?bibId=159951,,[],Open,9698,
45167,106,3.J.141,43803.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[https://jonas.irht.cnrs.fr/manuscrit/82311],,,[],Action required,9697,
45168,106,MS 1901,43927.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],https://ccfr.bnf.fr/portailccfr/ark:/16871/005FRCGMNOV-574636101-aTR,,[],Open,9698,
45169,106,MS M.807,43763.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],http://corsair.themorgan.org/vwebv/holdingsInfo?bibId=147056,,[],Open,9698,
45170,106,Cadre 882,43724.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45171,106,MS M.38,43763.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],http://corsair.themorgan.org/vwebv/holdingsInfo?bibId=76898,,[],Open,9698,
45172,106,1987,43764.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45173,106,BMH h fragm. 36,43765.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45174,106,1558,43766.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45175,106,Ms. 13,43767.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45176,106,1275,43769.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45177,106,XVII.F.33,43771.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45178,106,528,43772.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45179,106,527,43772.0,,,unknown,9770,,unknown,9535,[],[46477],[],,,,,,,[],[],,,[],Action required,9697,
45180,106,2926,43772.0,,,unknown,9770,,unknown,9535,[],[46453],[],,,,,,,[],[],,,[],Action required,9697,
45181,106,AC.X.10,43725.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
45182,106,Cod. Bodmer 105,43773.0,,,unknown,9770,,unknown,9535,[],[],[https://www.e-codices.unifr.ch/en/fmb/cb-0105d/],,,,,,,[],[],https://www.e-codices.unifr.ch/en/description/fmb/cb-0105d/,,[],Open,9698,
45183,106,Cod. Bodmer 11,43773.0,,,unknown,9770,,unknown,9535,[],[],[https://www.e-codices.unifr.ch/en/fmb/cb-0011/],,,,,,,[],[],https://www.e-codices.unifr.ch/en/description/fmb/cb-0011/,,[],Open,9698,
45184,106,Cod. Bodmer 168,43773.0,,,unknown,9770,,unknown,9535,[],[],[https://www.e-codices.unifr.ch/en/fmb/cb-0168/],,,,,,,[],[],https://www.e-codices.unifr.ch/en/description/fmb/cb-0168/,,[],Open,9698,
45185,106,Cod. Bodmer 18,43773.0,,,unknown,9770,,unknown,9535,[],[],[https://www.e-codices.unifr.ch/en/fmb/cb-0018/],,,,,,,[],[],https://www.e-codices.unifr.ch/en/description/fmb/cb-0018/,,[],Open,9698,
45186,106,Cod. Bodmer 40,43773.0,,,unknown,9770,,unknown,9535,[],[],[https://www.e-codices.unifr.ch/en/fmb/cb-0040/],,,,,,,[],[],https://www.e-codices.unifr.ch/en/description/fmb/cb-0040/,,[],Open,9698,
45187,106,Cod. Bodmer 96-1,43773.0,,,unknown,9770,,unknown,9535,[],[],[https://www.e-codices.unifr.ch/en/fmb/cb-0096-1/],,,,,,,[],[],https://www.e-codices.unifr.ch/en/description/fmb/cb-0096-1/,,[],Open,9698,
45188,106,Cod. Bodmer 1,43773.0,,,unknown,9770,,unknown,9535,[],[],[https://www.e-codices.unifr.ch/en/fmb/cb-0001/],,,,,,,[],[],https://www.e-codices.unifr.ch/en/description/fmb/cb-0001/,,[],Open,9698,
45189,106,Cod. Bodmer 96-2,43773.0,,,unknown,9770,,unknown,9535,[],[],[https://www.e-codices.unifr.ch/en/fmb/cb-0096-2/],,,,,,,[],[],https://www.e-codices.unifr.ch/en/description/fmb/cb-0096-2/,,[],Open,9698,
45190,106,Cod. Bodmer 67,43773.0,,,unknown,9770,,unknown,9535,[],[],[https://www.e-codices.unifr.ch/en/fmb/cb-0067/],,,,,,,[],[],https://www.e-codices.unifr.ch/en/description/fmb/cb-0067/,,[],Open,9698,
45191,106,Cod. Bodmer 147,43773.0,,,unknown,9770,,unknown,9535,[],[],[https://www.e-codices.unifr.ch/en/fmb/cb-0147/],,,,,,,[],[],https://www.e-codices.unifr.ch/en/description/fmb/cb-0147/,,[],Open,9698,
45192,106,114,43726.0,,,unknown,9770,,unknown,9535,[],[],[],,,,,,,[],[],,,[],Action required,9697,
