H-ID,type_id,stated_in H-ID,pages,reference_prefix,quotation
46976,128,46903,32,A1 - AIOL,"Aiol, chanson de geste publiée d'après le manuscrit unique de Paris, par J. NORMAND et G. RAYNAUD, Paris, 1877 (SATF) — 1è partie 1160-73 (Centre) ; ms. c. 1250 (français) - 2è partie 1205-15 (remanṯ picard) ou un seul auteur pour l'ensemble, fin 12è s. (1) ; ms. c. 1250 (picard) = 10983 v. [Geste de Saint-Gilles.] → vers. 
(1) Voir E. MELLI : 'Nouvelles recherches sur la composition et la rédaction d'Aiol et d'Elie de Saint-Gilles, dans Actes du IXè Congrès International de la Société Rencesvals, Padoue-Venise, 1982, I, pp. 131 - 149."
46977,128,46905,8,AC2 - ANSEÏS DE CARTHAGE (Italie),"Nouvo Frammenti dell'Anseïs de Carthage, publiés par Vincenzo de BARTHOLOMAEIS, dans Atti dell'Accademia degli Arcadi e Scritti dei Soci, anno XV, 1931, vol. VII-VIII - N. S., Tipografia Poliglotta Vaticana, 1932 -- 13è s. (Johannes de Bononia, sur exemplaire picard-wallon) ; ms. 1250-1300 ou début 14è s. (2 fragts, franco-italien) = 787 v. [14] H --> vers."
46978,128,46903,45,EO1 - LES ENFANCES OGIER,"Les Oeuvres d'Adenet le Roi, t. III : Les Enfances Ogier, publiées par A. HENRY, Bruges, 1956 (Rijksuniv. te Gent. Werken uitgegeven door de Faculteit van de Wijsbegeerte en Letteren, CXXI) — 1769-85 (renouvṯ d'Adenet le Roi, langue commune, traces du Brabant) ; ms. 1275-1300 (celui de l'auteur (?), langue commune...) = 8229 v. [Geste de Doon de Maience.] [Geste du roi Charles.] C → vers (1). (1) Les 4.400 premier vers (environ) du texte d'Adenet sont à rapprocher des 3.053 premiers vers de Raimbert dans CCD1."
46979,128,46905,18,EO2 - LES ENFANCES OGIER (Italie),"Die franlo-italienische Version der ""Enfances Ogier"", nach dem Codex Marcianus, herausgegeben von Jul. SUBAK, dans Zeitschrift für Rom. Philologie, XXXIII, 1909, p. 536-570 -- fin 12è s. (franco-italien) ; ms. 1300-50 (franco-italien) = 1411 v. [Geste de Doon de Maience.] [Geste du roi Charles.] → E vers."
46980,128,46903,45,ERe - LES ENFANCES RENIER,"Enfances Renier, canzone di geste inedita del sec. XIII, edita per cura di C. CREMONESI, Milano-Varese, 1957 — 1250-1300 (Ile de France orientale avec picardismes) ; ms. début 14è s. (même langue) = 20.068 v. [Geste de Rainouart (rattachée à Geste de Guillaume d'Orange)] → vers."
46981,128,46903,45,Esc1 - ESCLARMONDE,"Esclarmonde, Clarisse et Florent, Yde et Olive. Frei Fortsetzungen der Chanson von Huon de Bordeaux, nach der einzigen Turiner Handschrift zum ersten mal veröffentlicht, von M. SCHWEIGLE, Marburg, 1889 (Ausgaben und Abhandlungen aus dem Gebiete der Romanischen Philologie, LXXIII), p. 93-125 — 1250-1300 (picard, artésien) ; ms. daté de 1311 (picard) = 3481v. [Geste de Huon de Bordeaux.] → vers."
46982,128,46903,45-46,ESG - ELIE DE SAINT-GILLES,"Elie de Saint-Gille, chanson de geste publiée avec introduction, glossaire et index par G. RAYNOUD, accompagnée de la rédaction norvéqienne mise en français à partir de la traduction allemande d'E. KÖLBING, Paris, 1879 (SATF) — début 13è s. (remanṯ picard, cf. 2è partie d'A1) ou fin 12è s. (original) (1) ; ms. c. 1250 (picard) = 2761 v. [Geste de Saint-Gilles.] → vers. (1) Voir note sous le titre Aiol."
46983,128,46903,46,EV- LES ENFANCES VIVIEN,"Les Enfances Vivien, chanson de geste publiée par C. WAHLUND et H. von FEILITZEN, Upsala-Paris, 1895 — 1205-10 ou 1205-25 (région voisine de l'Ile-de-France, E. ou N.-E.) ; ms. de base D (retenu pour le chiffrage) c. 1250 (lorrain) = 5205 v. [Geste de Vivien (rattachée à Geste de Guillaume d'Orange).] [Geste de Guillaume d'Orange (suite de Geste de Garin de Monglane).] → vers (ms D) + var. (autres mss.) + lignes du roman en prose (en ce qui lui est propre) (2). (2) L'édition comporte la version ccrrespondante du Roman en prose, selon les mss. B.N. fr. 796 et 1497."
46984,128,46903,46,FC1 - FOUCON DE CANDIE,"Folque de Candie, nach den festländischer Handschriften zum ersten Male vollständig, herausgegeben voo O. SCHULTZ-GORA, I-II, Dresden, 1915, III, Halle, 1976 (Gesselschaft für Romanische Literatur, XXI, XXXVIII XLIX) — 1180-5 ou c. 1210 (oeuvre d'herbert le Duc de Danmartin, Ile-de-France) ; ms. 1250...14è s. (francien-picard) = 14916 v. [Geste de Guillaume d'Orange (suite de Geste de Garin de Monglane).] → vers."
46985,128,46903,46,FC2 - FOUCON OE CANDIE,"La Geste de Guillaume d'Orange. Fragments inédits du XIIIè siècle ; Fragments de Namur (rattachés de préférence à Foucon de Candie), publiés par St. BORMANS, Bruxelles, 1878 (Le Bibliophile belge, XIII). — 1160-5 ou c. 1210 (oeuvre d’Herbert le Duc de Danmartin) ; ms. 1250-1300 (scribe de l’Est copiant un texte du S.-O.) = 248 v. [Geste de Guillaume d'Orange (suite de Geste de Garin de Monglane).] → vers."
