H-ID,type_id,is_inscribed_on H-ID,div_order,number_of_verses,part_of_text,volume_number,physical_description H-ID,number_of_lines,verses_per_line,verses_per_line TRM-ID,lines_are_incomplete,lines_are_incomplete TRM-ID,page_ranges,review_status,review_status TRM-ID,review_note
45053,125,45047,1.0,,,,,,,,No,9498,[1ra-159rb],Open,9698,
46313,125,46306,1.0,639.0,,,,639.0,,,No,9498,"[1r-1v, 2r-2v]",Action required,9697,Check
46356,125,46334,1.0,,,,,,,,unknown,9535,[119v:15-126v],Open,9698,
46373,125,46346,1.0,,,,,,,,Yes,9497,[15 fragments],Action required,9697,Check
46376,125,46354,2.0,,,,,,,,Yes,9497,[9 fragments],Action required,9697,Check
46404,125,46396,1.0,,,,,,,,unknown,9535,[19r-25r],Open,9698,
46406,125,46398,1.0,1200.0,,,,1200.0,,,No,9498,"[1r-4v, 5r-6v]",Action required,9697,Add ref to Kienhorst
46407,125,46338,1.0,332.0,,,,332.0,,,No,9498,"[1r-1v, 2r-2v]",Action required,9697,Check
46411,125,46408,1.0,,,,,,,,No,9498,[71v-76v],Open,9698,
47242,125,47235,1.0,355.0,,,47243.0,355.0,one verse per line,9831.0,No,9498,[1v-2r],Action required,9697,Check physdes and pages.
47247,125,46345,1.0,,,,47248.0,,,,unknown,9535,[1 Doppelblatt],Action required,9697,needs locus information
47269,125,47266,1.0,130.0,,,47270.0,1472.0,one verse per line,9831.0,Yes,9497,[1r-2v],Action required,9697,Check page ranges
47273,125,47271,1.0,157.0,,,47274.0,1472.0,one verse per line,9831.0,Yes,9497,[1r-4v],Action required,9697,Check. Multiple parts necessary?
47277,125,47275,1.0,141.0,,,47278.0,1472.0,one verse per line,9831.0,Yes,9497,"[1r-1v, 2r-2v]",Action required,9697,Check
47281,125,47279,1.0,618.0,,,47282.0,1472.0,one verse per line,9831.0,Yes,9497,"[1r-1v, 2r-2v, 3r-3v, 4r-4v]",Action required,9697,Check.
47286,125,47284,1.0,190.0,,,47287.0,190.0,one verse per line,9831.0,Yes,9497,"[1r-1v, 2r-2v]",Action required,9697,Number of lines unsure.
47290,125,47288,1.0,160.0,,,47291.0,160.0,one verse per line,9831.0,Yes,9497,"[1r-1v, 2r-2v]",Action required,9697,Number of lines check.
47338,125,47335,1.0,720.0,,,47339.0,,,,Yes,9497,[3r-4v],Action required,9697,Check section lines.
47344,125,47342,1.0,156.0,,,47345.0,156.0,continuous,9830.0,Yes,9497,[1r-1v],Action required,9697,Check.
47354,125,47352,1.0,200.0,,,47355.0,200.0,one verse per line,9831.0,Yes,9497,[1r-2v],Action required,9697,Page cut in two parts: discuss.
47376,125,47370,1.0,21844.0,Full text,,47377.0,,continuous,9830.0,No,9498,[1r-120v],Action required,9697,Check.
47384,125,47382,1.0,672.0,,,47385.0,672.0,continuous,9830.0,unknown,9535,"[1r-2v, 3r-4v]",Action required,9697,Should this be two parts?
47389,125,47387,1.0,144.0,Fragment of book 9,,47390.0,144.0,one verse per line,9831.0,Yes,9497,"[1r-1v,2r-2v]",Action required,9697,Check whether 1 or 2 parts.
47393,125,47391,1.0,424.0,,,47394.0,424.0,one verse per line,9831.0,No,9498,"[1r-1v, 2r-2v]",Action required,9697,"Check parts, ref."
47400,125,47395,1.0,212.0,,,47394.0,212.0,one verse per line,9831.0,unknown,9535,[1r-1v],Action required,9697,Check.
47404,125,47401,1.0,638.0,,,47394.0,638.0,one verse per line,9831.0,unknown,9535,"[1r-2v, 3r-3v]",Action required,9697,Check.
47407,125,47405,1.0,478.0,,,47408.0,478.0,one verse per line,9831.0,Yes,9497,"[1r-2v, 3r-4v]",Action required,9697,Check.
47412,125,47409,1.0,739.0,,,47413.0,739.0,one verse per line,9831.0,Yes,9497,"[1r-2v, 3r-3v]",Action required,9697,Check.
47417,125,47414,1.0,393.0,Part of book 9,,47418.0,393.0,one verse per line,9831.0,unknown,9535,[1r-2v],Action required,9697,Check.
47421,125,47419,1.0,161.0,,,47422.0,161.0,,,Yes,9497,"[1r-1v, 2r-2v]",Action required,9697,Ghost! Correct?
47426,125,47423,1.0,74.0,,,47427.0,74.0,,,Yes,9497,[1r-1v],Action required,9697,Check: two parts make one folium.
