H-ID,type_id,family_name,given_names,alternative_names,Gender,Gender TRM-ID,short_description,Representative picture,described_by_source H-ID,described_at_URL,ISNI,Honorific,Honorific TRM-ID,Person type,Person type TRM-ID,Person role,Person role TRM-ID,Story element list H-ID,floruit,date_of_birth,Country of birth,Country of birth TRM-ID,Place of birth H-ID,Life events H-ID,date_of_death,Country of death,Country of death TRM-ID,Place of death H-ID,Cause of death,Cause of death TRM-ID,Unique public identifier,Contact details or URL,Email address,Language spoken,Language spoken TRM-ID,URL
44955,10,de Villeneuve,Huon,[Hugues de Villeneuve],,,,[],[],"[https://data.biblissima.fr/w/Item:Q22186, https://www.wikidata.org/wiki/Q3143380]",,[],[],[],[],[],[],,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1200-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1300-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1200-01-01 00:00:00, 'estMaxDate': 1300-12-31 00:00:00}",,,,,[],,,,,,,,,[],,,
44961,10,Chanoine de Saint-Pierre d'Antioche,,[],,,"Canon (chanoine) of Saint-Pierre in the crusader state Antioche, under the patronage of its prince Raymond, who died in 1149.",[],[],[],,[],[],[],[],[],[],,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1100-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1200-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1100-01-01 00:00:00, 'estMaxDate': 1200-12-31 00:00:00}",,,,,[],,,,,,,,,[],,,
44962,10,Richard le Pèlerin,,[Richard le Pélerin],,,"Author of the first version, lost, of the Chanson d'Antioche and the Conquête de Jérusalem.",[],[],"[https://www.wikidata.org/wiki/Q96759395, https://data.biblissima.fr/w/Item:Q299442]",0000 0004 3970 9869,[],[],[],[],[],[],,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1100-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1200-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1100-01-01 00:00:00, 'estMaxDate': 1200-12-31 00:00:00}",,,,,[],,,,,,,,,[],,,
44964,10,,Graindor de Douai,[Gandor de Douai],,,,[],[],"[https://www.wikidata.org/wiki/Q5258, https://data.biblissima.fr/w/Item:Q299443]",0000000387520190,[],[],[],[],[],[],,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1100-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1200-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1100-01-01 00:00:00, 'estMaxDate': 1200-12-31 00:00:00}",,,,,[],,,,,,,,,[],,,
44965,10,,Adenet Le Roi,"[Adenes Le Roi, Adenés le Roi, Adenés li Rois]",,,,[],[],"[https://www.wikidata.org/wiki/Q773970, https://data.biblissima.fr/w/Item:Q366]",0000000079731105,[],[],[],[],[],[],,,"{'comment': NULL, 'value': 1240-01-01 00:00:00, 'start': {'earliest': NULL, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': NULL, 'estMaxDate': NULL}",,,,[],"{'comment': NULL, 'value': 1300-01-01 00:00:00, 'start': {'earliest': NULL, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': NULL, 'estMaxDate': NULL}",,,,,,,,[],,,
44966,10,,Bertolais de Laon,"[Bertolai de Laon, Bertolais de Laon]",,,,[],[],[https://www.wikidata.org/wiki/Q63979502],https://isni.org/isni/0000000390162072,[],[],[],[],[],[],,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1100-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1200-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1100-01-01 00:00:00, 'estMaxDate': 1200-12-31 00:00:00}",,,,,[],,,,,,,,,[],,,
44967,10,,Bertrand de Bar-sur-Aube,[],,,Clerc champenois de la fin du XIIe s.,[],[],"[https://www.wikidata.org/wiki/Q5169, https://data.biblissima.fr/w/Item:Q25546]",https://isni.org/isni/0000000079763166,[],[],[],[],[],[],,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1181-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1300-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1181-01-01 00:00:00, 'estMaxDate': 1300-12-31 00:00:00}",,,,,[],,,,,,,,,[],,,
44968,10,Brienchon,,[],,,,[],[],[],,[],[],[],[],[],[],,,,,,,[],,,,,,,,,[],,,
44969,10,Cuvelier,,"[Jean Cuvelier, Charles Cuvelier, Le Cuvelier, Jean Trueller]",,,Trouvère,[],[],[https://data.biblissima.fr/w/Item:Q3477],,[],[],[],[],[],[],,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1301-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1399-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1301-01-01 00:00:00, 'estMaxDate': 1399-12-31 00:00:00}",,,,,[],,,,,,,,,[],,,
44970,10,d'Amiens,Girart,[Girard d'Amiens],,,,[],[],"[https://www.wikidata.org/wiki/Q3107584, https://data.biblissima.fr/w/Item:Q5952]",,[],[],[],[],[],[],,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1201-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1399-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1201-01-01 00:00:00, 'estMaxDate': 1399-12-31 00:00:00}",,,,,[],,,,,,,,,[],,,
