H-ID,type_id,subject_of_description H-ID,material,material TRM-ID,form,form TRM-ID,folio_size_width,folio_size_height,folio_size_reference,estimated_folio_size_height,estimated_folio_size_width,estimated_folio_size_reference,has_decorations,has_decorations TRM-ID,amount_of_illustrations,amount_of_illustrations TRM-ID,writing_surface_area_height,writing_surface_area_width,writing_surface_area_reference,number_of_columns,number_of_lines_in_writing_area,above_top_line,above_top_line TRM-ID,script_type,script_type TRM-ID,subscript_type,subscript_type TRM-ID
47243,129,,perg,9782,codex,9788,,,,240-250,170-175,"Kienhorst (1988), p. 82.",[rubrication],[9795],none,9800,196-200,133,"Kienhorst (1988), p. 82.",2,39,unknown,9535.0,textualis,9806,,
47248,129,46345.0,perg,9782,codex,9788,,,,227,127,https://handschriftencensus.de/22382,[unknown],[9793],unknown,9799,188,112,https://handschriftencensus.de/22382,2,44,,,unknown,9804,,
47270,129,47266.0,perg,9782,codex,9788,,,,168-170,112-116,"Kienhorst 1988, p. 84.",[rubrication],[9795],none,9800,149-151,80,"Kienhorst 1988, p. 84.",1,33,,,textualis,9806,,
47274,129,47271.0,perg,9782,codex,9788,,,,185,110,"Kienhorst 1988, p. 85.","[initial, rubrication]","[9794, 9795]",none,9800,150,79,"Kienhorst 1988, p. 85.",1,25,,,textualis,9806,,
47278,129,47275.0,perg,9782,codex,9788,,,,200,110,"Kienhorst 1988, p. 86.",[rubrication],[9795],none,9800,156-158,70,"Kienhorst 1988, p. 86.",1,32-34,,,textualis,9806,,
47282,129,47279.0,perg,9782,codex,9788,,,,240,170,"Kienhorst 1988, p. 87.","[rubrication, initial]","[9795, 9794]",none,9800,180-189,,"Kienhorst 1988, p. 87.",2,39-40,,,textualis,9806,,
47287,129,47284.0,perg,9782,codex,9788,,,,99-103,131-134,"Kienhorst 1988, p. 149.",[rubrication],[9795],none,9800,99-103,125,"Kienhorst 1988, p. 149.",2,23-24,,,textualis,9806,,
47291,129,47288.0,perg,9782,codex,9788,,,,235,180,"Kienhorst 1988, p. 150.",[rubrication],[9795],none,9800,200-210,90,"Kienhorst 1988, p. 150.",2,40,,,textualis,9806,,
47339,129,47335.0,perg,9782,codex,9788,205,265,"Kienhorst (1988), p. 222.",,,,[rubrication],[9795],none,9800,229-233,188-190,"Kienhorst (1988), p. 222.",4,45,,,textualis,9806,,
47345,129,47342.0,perg,9782,codex,9788,365-368,129,"Kienhorst (1988), p. 59.",260,368,"Kienhorst (1988), p. 59.",[no decoration],[9797],none,9800,,152,,2,,,,textualis,9806,,
47355,129,47352.0,perg,9782,codex,9788,185-192,290-294,"Kienhorst (1988), p. 68.",,,,[initial],[9794],none,9800,229,125-132,"Kienhorst (1988), p. 68",2,50,unknown,9535.0,textualis,9806,,
47377,129,47370.0,perg,9782,codex,9788,208,278,"Kienhorst (1988), p. 102.",,,,"[rubrication, initial]","[9795, 9794]",one,9801,209,125,"Kienhorst (1988), p. 102.",2,46,unknown,9535.0,textualis,9806,,
47385,129,47382.0,perg,9782,codex,9788,196-197,237,"Kienhorst (1988), p. 104.",,,,[rubrication],[9795],none,9800,190,137,,2,42,unknown,9535.0,textualis,9806,,
47390,129,47387.0,perg,9782,codex,9788,126-128,182-188,"Kienhorst (1988),p. 105.",,,,"[rubrication, incomplete dec.]","[9795, 9796]",none,9800,180,,,2,40,,,textualis,9806,,
47394,129,47391.0,perg,9782,codex,9788,200,290-295,"Kienhorst (1988), p. 106.",,,,"[rubrication, initial]","[9795, 9794]",none,9800,232-234,134-135,"Kienhorst (1988), p. 106.",2,53,unknown,9535.0,textualis,9806,,
47408,129,47405.0,perg,9782,codex,9788,260-265,209-214,"Kienhorst (1988), p. 108.",,,,"[rubrication, incomplete dec.]","[9795, 9796]",none,9800,177-180,127-128,"Kienhorst (1988), p. 108.",2,40,unknown,9535.0,textualis,9806,,
47413,129,47409.0,perg,9782,codex,9788,165-170,260,"Kienhorst (1988), p. 109.",,,,[rubrication],[9795],none,9800,220,123-125,"Kienhorst (1988), p. 109.",2,50,unknown,9535.0,textualis,9806,,
47418,129,47414.0,perg,9782,codex,9788,177-179,254-255,"Kienhorst (1988), p. 110.",,,,"[rubrication, initial]","[9795, 9794]",none,9800,218-219,132-134,"Kienhorst (1988), p. 110.",2,50,unknown,9535.0,textualis,9806,,
47422,129,47419.0,perg,9782,codex,9788,NA,NA,"Kienhorst (1988), p. 111.",,,,[unknown],[9793],unknown,9799,,,,2,50,,,unknown,9804,,
47427,129,47423.0,perg,9782,codex,9788,57,89-90,"Kienhorst (1988), p. 112.",,,,[rubrication],[9795],none,9800,,,,2,40,,,textualis,9806,,
47431,129,47428.0,perg,9782,codex,9788,140,230,"Kienhorst (1988), p. 181.",,,,[rubrication],[9795],none,9800,180,,,2,40,,,textualis,9806,,
47435,129,47432.0,perg,9782,codex,9788,NA,NA,"Kienhorst (1988), p. 182.",,,,[unknown],[9793],unknown,9799,,,,2,48,,,unknown,9804,,
47439,129,47436.0,perg,9782,codex,9788,150,210,"Kienhorst (1988), p. 183.",,,,[incomplete dec.],[9796],none,9800,173-175,70-73,"Kienhorst (1988), p. 183.",2,30-33,,,cursiva,9807,,
47443,129,47440.0,perg,9782,codex,9788,170,240-250,"Kienhorst (1988), p. 184.",,,,[rubrication],[9795],none,9800,,126,,2,42,,,textualis,9806,,
47447,129,47444.0,perg,9782,codex,9788,215,300,"Kienhorst (1988), p. 172.",,,,"[rubrication, initial]","[9795, 9794]",none,9800,222,154-155,"Kienhorst (1988), p. 172.",2,50,,,textualis,9806,,
47456,129,47453.0,perg,9782,codex,9788,150,100,"Kienhorst (1988), p. 174.",200,150,"Kienhorst (1988), p. 174.",[rubrication],[9795],none,9800,,,,2,40-45,,,textualis,9806,,
47460,129,47457.0,perg,9782,codex,9788,160,200,"Kienhorst (1988), p. 174.",,,,"[rubrication, initial]","[9795, 9794]",none,9800,160,,,2,33,,,textualis,9806,,
47465,129,47461.0,chart,9783,codex,9788,210,300,"Kienhorst (1988), p. 175.",,,,[no decoration],[9797],none,9800,,,,1,36,,,cursiva,9807,,
47469,129,47466.0,perg,9782,codex,9788,242,362-366,"Kienhorst (1988), p. 176.",,,,"[rubrication, initial]","[9795, 9794]",none,9800,275,175,"Kienhorst (1988), p. 176.",2,40,,,textualis,9806,,
47480,129,47476.0,perg,9782,codex,9788,148,221,"Kienhorst (1988), p. 9.",250,180,"Kienhorst (1988), p. 9.","[initial, rubrication]","[9794, 9795]",none,9800,202-207,140,"Kienhorst (1988), p. 9.",2,38,unknown,9535.0,textualis,9806,,
47502,129,47498.0,perg,9782,codex,9788,170,240,"Kienhorst (1988), p. 8.",,,,[unknown],[9793],none,9800,171,120,"Kienhorst (1988), p. 8.",2,35,,,textualis,9806,,
47507,129,47504.0,perg,9782,codex,9788,190,270,"Kienhorst (1988), p. 10.",,,,"[rubrication, initial]","[9795, 9794]",none,9800,220,150,"Kienhorst (1988), p. 10.",2,47,,,textualis,9806,,
47512,129,47509.0,perg,9782,codex,9788,200,290,"Kienhorst (1988), p. 11.",,,,"[rubrication, initial]","[9795, 9794]",none,9800,216-222,156-157,"Kienhorst (1988), p. 11.",3,50,,,textualis,9806,,
47516,129,47513.0,chart,9783,codex,9788,210,300,"Kienhorst (1988), p. 12.",,,,"[rubrication, initial]","[9795, 9794]",none,9800,,121-128,,2,33-37,,,cursiva,9807,,
