H-ID,type_id,preferred_name,label_name,city H-ID,alternative_names,VIAF,ISNI,biblissima_identifier,website
43721,108,University of Leeds. Brotherton library,University of Leeds Brotherton Library,43613,"[Brotherton library Leeds, GB, Brotherton Library, Brotherton Library (Leeds), University of Leeds, Brotherton Library Leeds (GB-LEbc), Leeds University Library. Brotherton Library]",136949486.0,0000000122908835,,
43722,108,Beinecke rare book and manuscript library,Beinecke Library,43496,"[Yale University. Beinecke Rare Book and Manuscript Library (New Haven), Beinecke Rare Book and Manuscript Library (New Haven, Conn.) New Haven, Conn., Beinecke rare book and manuscript library New Haven, Conn., Beinecke Rare Book & Manuscript Library, Yale University. Library. Beinecke Rare Book and Manuscript Library]",146865135.0,0000000121797790,,
43723,108,Archives municipales de Metz,Archives municipales de Metz,42694,"[Archives municipales Metz (F-MEam), Archives Municipales (Metz), archives municipales de Metz service d'archives municipales en France]",154453062.0,0000000122978278,,
43724,108,Musée des beaux-arts,Musée des beaux-arts,42723,"[Musée des beaux-arts (Reims)., musée des Beaux-Arts de Reims, Musée des beaux-arts (Reims, Marne)]",195570567.0,,,
43725,108,Biblioteca nazionale braidense,Biblioteca nazionale braidense,43625,"[Biblioteca Nazionale Braidense Milano (I-Mb), Biblioteca nazionale braidense (Μιλάνο, Ιταλία), Biblioteca nazionale braidense Milan, Italie, Biblioteca nazionale Braidense (Milano)]",131173916.0,0000000417562018,,
43726,108,New York public library,New York public library,43498,[ニューヨーク公共図書館],143013888.0,0000000121736162,,
43727,108,Herzog-August-Bibliothek,Herzog-August-Bibliothek,43661,"[Herzog August Bibliothek (Wolfenbüttel, Allemagne), Herzog August Bibliothek Wolfenbüttel, Deutschland, Herzog August Bibliothek (Þýskaland), Herzog August Bibliothek (Wolfenbüttel, Nemecko), Herzog August Bibliothek (Wolfenbuettel), Herzog August Bibliothek (Alemania), Herzog August Bibliothek Wolfenbüttel (D-W), Herzog-August-Bibliothek (Wolfenbüttel)]",125059269.0,0000000121513727,,
43728,108,Bibliothèque municipale de Versailles,Bibliothèque municipale de Versailles,43662,"[Bibliothèque municipale Versailles (F-V), Bibliothèque municipale (Wersal)., Bibliothèque municipale (Versailles), Bibliothèque Municipale]",156688622.0,,,
43729,108,Bibliothèque municipale,Bibliothèque municipale,42727,"[Bibliothèque municipale, Bibliothèque municipale (Rouen, Francie), Bibliothèques de Rouen, Bibliothèque municipale de Rouen]",127811314.0,0000000119452857,,
43730,108,Médiathèque de la communauté urbaine d'Alençon,Médiathèque de la communauté urbaine,42627,"[Bibliothèque municipale Alençon (F-AL), Bibliothèque municipale d'Arras, Médiathèque (Alençon, Orne)]",261516764.0,0000000106758961,,
43731,108,Abbaye de Maredsous. Bibliothèque,Abbaye de Maredsous. Bibliothèque,43663,"[Abbaye Saint-Benoît de Maredsous. Bibliothèque, Kloster Maredsous Bibliothek]",125579984.0,0000000086664828,,
43732,108,Staats- und Universitätsbibliothek Hamburg,Staats- und Universitätsbibliothek,43584,"[Staats-und Universitats Bibliothek Hamburg, Staats- und Universitätsbibliothek (Hambourg, Allemagne), Staats- und Universitätsbibliothek Hamburg, Deutschland, Staats- und Universitätsbibliothek]",158923653.0,0000000122994294,,
43733,108,Koninklijke Bibliotheek,Koninklijke Bibliotheek,43653,"[Koninklijke Bibliotheek (Haga)., Koninklijke Bibliotheek (Nīderlande), Koninklijke Bibliotheek (Nederland), Koninklijke Bibliotheek (Países Baixos), Koninklijke bibliotheek ('s-Gravenhage), Paises Baixos., Koninklijke Bibliotheek, Koninklijke Bibliotheek, Koninklijke Bibliotheek (Nizozemsko), Koninklijke Bibliotheek (Holanda), Koninklijke Bibliotheek (Països Baixos), Koninklijke bibliotheek Pays-Bas, Koninklijke Bibliotheek Den Haag]",1.0214597012193224e+20,0000000123699000,,
43734,108,Bibliothèque Municipale Epinal,Bibliothèque Municipale Epinal,42667,"[Bibliothèque multimédia intercommunale Épinal Épinal (F-E), Bibliothèque municipale d'Épinal, bibliothèque multimédia intercommunale d'Épinal]",149637539.0,0000000123484333,,
43735,108,University of Notre Dame. Library,University of Notre Dame Library,43665,"[University of Notre Dame, Libraries, Theodore Hesburgh Library, University of Notre Dame (Indiana). Library]",136040265.0,0000000122599753,,
43736,108,Universitetsbiblioteket,Universitetsbiblioteket,43659,"[Københavns Universitetsbibliotek, Universitetsbiblioteket Copenhague, Københavns universitet. Universitetsbiblioteket, Københavns Universitetsbiblioteket]",124947742.0,0000000122645297,,
43737,108,National Library of Russia,National Library of Russia,43666,"[Rossiĭskai︠a︡ nat︠s︡ional'nai︠a︡ biblioteka, Rosyjska Biblioteka Narodowa (Petersburg), הספרייה הציבורית על שם סלטיקוב-שצ'דרין (פטרבורג), Rossijskaja nacionaľnaja biblioteka (Petrohrad, Rusko), Rossijskaâ nacional'naâ biblioteka (Saint-Pétersbourg, Russie), Российская Национальная библиотека (Санкт-Петербург), Rossijskaja nacional'naja biblioteka Sankt-Peterburg (RUS-SPsc), Rossijskaja nacional/ naja biblioteka, Rússia., National Library, Российская национальная библиотека, Rossijskaâ nacional'naâ biblioteka., Государственная публичная библиотека им. Салтыкова-Щедрина, Отдел каталогизации, Rossijskaja nacional'naja biblioteka Sankt-Peterburg, ロシア国立図書館, Rossijskaja nacional'naja biblioteka, Bibliothèque nationale de Russie]",127114742.0,0000000122431029,,
43738,108,Archivio di Stato,Archivio di Stato,43667,"[Archivio di Stato di Viterbo archives in Italy, Archivio di Stato di Viterbo]",137409011.0,0000000121773254,,
43739,108,Archives départementales de Meurthe-et-Moselle,Archives dép. Meurthe-et-Moselle,42702,"[Archives départementales de Meurthe-et-Moselle Nancy (F-NAad), Archives Départementales de Meurthe-et-Moselle (Nancy), archives départementales de Meurthe-et-Moselle archives du département de Meurthe-et-Moselle, Archives départementales (Meurthe-et-Moselle), Meurthe-et-Moselle. Archives départementales]",147817727.0,0000000119574264,,
43740,108,Biblioteca marucelliana,Biblioteca marucelliana,43639,"[Biblioteca Marucelliana Firenze (I-Fm), Biblioteca Marucelliana Florence, Italie, Biblioteca Marucelliana (Firenze), Biblioteca Marucelliana di Firenze]",154268662.0,0000000122973186,,
