H-ID,type_id,preferred_name,language_COLUMN,language_COLUMN TRM-ID,literary_form,literary_form TRM-ID,is_hypothetical,is_hypothetical TRM-ID,claim_freetext,alternative_names,is_expression_of H-ID,peripheral,peripheral TRM-ID,specific_genre H-ID,length,length_freetext,verse_type,verse_type TRM-ID,rhyme_type,rhyme_type TRM-ID,Stanza_type,Stanza_type TRM-ID,is_derived_from H-ID,nature_of_derivations,tradition_status,tradition_status TRM-ID,status_notes,in_stemma H-ID,has_lost_older_version,has_lost_older_version TRM-ID,ancient_translations_freetext,rewritings_freetext,note,regional_writing_style H-ID,scripta_freetext,date_of_creation,date_of_creation_certainty,date_of_creation_certainty TRM-ID,date_of_creation_source,date_freetext,is_written_by H-ID,is_adapted_by H-ID,author_freetext,place_of_creation H-ID,place_of_creation_source,described_by_source H-ID,described_at_URL,reference_notes,review_status,review_status TRM-ID,review_note
512,101,Doon de Nanteuil,fro (Old French),9470.0,verse,9549.0,No,9483,,[],[121],No,9498.0,44167.0,,,[alexandrine],[9555],[full rhyme],[9779],monorhyme 'laisse',9836.0,[],,fragmentary,9477.0,"Known through Fauchet's citations, and ancient catalogues",[],Maybe,9484,[],[],"voir publication fragments par Paul Meyer, R, 13 (1884), p. 1-18., XII2/2. Ne nous reste qu'un fragment de 250 v. copiés par Claude Fauchet, cf. Moisan sIV Fau. Serait un remaniement par Huon d'une chanson perdue. Voir aussi Moisan sIII.",,NA,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1180-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1220-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1180-01-01 00:00:00, 'estMaxDate': 1220-12-31 00:00:00}",,,,"XII fin; commencement du 13e siècle pour le remaniement, selon Meyer",[44955],[],Huon de Villeneuve,,,[47195],"[https://arlima.net/no/1044, https://doi.org/10.3406/roma.1884.6290]","[ARLIMA: 1044, https://arlima.net/no/1044, MOISAN: DN (cycle: Nanteuil,Charlemagne), BOSSUAT: I p. 34]",Open,9698.0,
513,101,Audigier,fro (Old French),9470.0,verse,9549.0,No,9483,,[],[231],No,9498.0,44167.0,517.0,,[decasyllabe],[9554],[full rhyme],[9779],,,[],,surviving,9480.0,,[],Yes,9482,[],[],Parodie truculente de chanson de geste.,47640.0,pic. deb. 13e (DEAF),"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1180-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1220-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1180-01-01 00:00:00, 'estMaxDate': 1220-12-31 00:00:00}",,,,XIIex – XIIIdeb,[],[],,,,[],[https://arlima.net/no/28],"[ARLIMA: 28, https://arlima.net/no/28]",Open,9698.0,
514,101,Charles Martel,,,,,unknown,9770,,[],[182],,,,,,[],[],[],[],,,[],,lost,9478.0,,[],unknown,9770,[],[mise en prose],"Selon P. Meyer, éd. Girart de Roussillon, p. 171, auteur de la compilation ""Charles Martel"" (1448) à suivi deux originaux, dont 'un poème perdu relatif au héros'. Voir aussi Moisan sIII.",,,,,,,,[],[],,,,[],[],[],Action required,9697.0,
515,101,Chetifs perdus,,,,,unknown,9770,,[],[185],,,,,,[],[],[],[],,,[],,lost,9478.0,,[],unknown,9770,[],[],"Modèle dont le texte de Graindor est un remaniement, et dont il a repris une importante partie cf. Moisan sIII et DLF 1964 178. Auteur serait un chanoine de Saint-Pierre d'Antioche et l'aurait écrite sur place.",,,"{'comment': NULL, 'value': 1150-01-01 00:00:00, 'start': {'earliest': NULL, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': NULL, 'estMaxDate': NULL}",,,,"XII, c. 1150",[44961],[],chanoine de Saint-Pierre d'Antioche,,,[],[],[],Open,9698.0,
516,101,Chevalerie Ogier perdue,,,,,unknown,9770,,[],[126],,,,,,[],[],[],[],,,[],,lost,9478.0,,[],unknown,9770,[],[],"Une ou plusieurs versions perdues. Selon Bédier, dans le poème perdu, la guerre de Lombardie était motivée, comme historiquement, par le fait qu'Ogier s'était fait le tuteur des fils de Carloman. Metellus de Tegernsee (1150-1160) donne le résumé d'un poème ayant participé à l'établissement de la légende d'Ogier. Le pseudo-Turpin connaissait une trad. où Ogier mourait à Roncevaux. En se fondant sur la KSaga, Aebischer suppose une chanson dans la seconde partie du XIe. Moisan sIII.",,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1050-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1130-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1050-01-01 00:00:00, 'estMaxDate': 1130-12-31 00:00:00}",,,,"XI-XII1/3, 1050 - av. 1130.",[],[],,,,[],[],[],,,
517,101,Chevalier au Cygne perdu,,,,,unknown,9770,,[],[189],,,,,,[],[],[],[],,,[],,lost,9478.0,,[],unknown,9770,[],[],"Cf. entrée suivante. Moisan sIII. Voir art. de Huet + Gran Conquista de Ultramar + hypothèse d'Aebischer à partir de KS, qui la placerait dans le XI 2/2.",,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1001-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1300-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1001-01-01 00:00:00, 'estMaxDate': 1300-12-31 00:00:00}",,,,"?, XI – XII – XIII",[],[],,,,[],[],[],,,
518,101,Conquete de Jerusalem,,,,,unknown,9770,,[],[940],,,,,,[],[],[],[],,,[],,lost,9478.0,,[],unknown,9770,[],[],"Quelques éléments repris dans a Gran Conquista de Ultramar, DLF 1964 220 + R 66 1940 32-48. Moisan sIII.",,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1130-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1135-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1130-01-01 00:00:00, 'estMaxDate': 1135-12-31 00:00:00}",,,,"XII, c. 1130-1135",[44962],[],Pélerin Richard (?),,,[],[https://arlima.net/no/300],"[ARLIMA: 300, https://arlima.net/no/300]",Open,9698.0,
519,101,Doon de Mayence perdu,fro (Old French),9470.0,unknown,9726.0,Yes,9482,"Attestée par les prologues de Gir Vienne, les v. 475-481 de Ren Montauban; Moisan sIII.",[],[211],No,9498.0,44167.0,,,[],[],[],[],,,[],,lost,9478.0,,[],unknown,9770,[],[],,,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1101-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1200-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1101-01-01 00:00:00, 'estMaxDate': 1200-12-31 00:00:00}",,,,XII,[],[],,,,[],[],[],Open,9698.0,
520,101,Enfances Ogier perdue,fro (Old French),9470.0,unknown,9726.0,Yes,9482,"Source d'Adenet 'ne s'identifie avec aucun texte connu', et la version fr-it serait un des témoins les plus anciens. À clarifier. Moisan sIII.",[],[129],No,9498.0,44167.0,,,[],[],[],[],,,[],,lost,9478.0,,[],unknown,9770,[],[],,,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1101-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1200-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1101-01-01 00:00:00, 'estMaxDate': 1200-12-31 00:00:00}",,,,,[],[],,,,[],[],[],Open,9698.0,
521,101,Ferragu de Nazze,,,,,unknown,9770,,[],[128],,,,,,[],[],[],[],,,[],,lost,9478.0,,[],unknown,9770,[],[],"Selon Menendez Pidal, le 'Seminense' écrivant en Léon c. 1110 a pu se référer à une vieille chanson sur le sujet; résumé dans PsTurpin c. 1130, développement dans l'Entrée d'Espagne, et possible résumé dans le Ferragus en prose Bruxelles 3030. Aurait célébré duel entre Roland et ce géant selon G. Paris [liens possibles Otinel]. Moisan sIII.",,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1001-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1110-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1001-01-01 00:00:00, 'estMaxDate': 1110-12-31 00:00:00}",,,,"XI – XIIdeb, av. 1110.",[],[],,,,[],[],[],,,
