H-ID,type_id,is_manifestation_of H-ID,observed_on_pages H-ID,last_observed_in_doc H-ID,is_unobserved,is_unobserved TRM-ID,claim_freetext,used_to_follow_fragment H-ID,used_to_follow_witness H-ID,preferred_siglum,alternative_sigla,status_witness,status_witness TRM-ID,status_notes,is_excerpt,is_excerpt TRM-ID,regional_writing_style H-ID,scripta_freetext,date_of_creation,date_of_creation_certainty,date_of_creation_certainty TRM-ID,date_of_creation_source,date_freetext,scribe H-ID,number_of_hands,scribe_note,place_of_creation H-ID,place_of_creation_source,described_by_source H-ID,described_at_URL,reference_notes,review_status,review_status TRM-ID,review_note
45040,105,,[45053],,No,9483,,,,A,[],complete,9545,1ra-159rb on Arsenal 2983,No,9483,,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1280-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1300-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1280-01-01 00:00:00, 'estMaxDate': 1300-12-31 00:00:00}",,,Arlima provides date for ms (Fin du XIIe-début du XIIIe siècle),Fin du XIIe-début du XIIIe siècle,[],,,[],,[],"[https://data.biblissima.fr/w/Item:Q114644, https://arlima.net/no/7965]",,Open,9698,
46311,105,46303.0,[46313],,No,9483,,,,?,[],fragmentary,9544,,No,9483,46312.0,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1341-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1360-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': conjecture, 'estProfile': central, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1341-01-01 00:00:00, 'estMaxDate': 1360-12-31 00:00:00}",2. Probable (33%-66%),9763.0,,,[],,,[],,[47038],[https://www.dbnl.org/tekst/klei021geta01_01/klei021geta01_01_0001.php],Add more references.,Action required,9697,Add other references. Correct preferred siglum.
46349,105,46337.0,[46356],,No,9483,,,,P6,[],defective,9546,,No,9483,,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1391-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1410-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': conjecture, 'estProfile': central, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1391-01-01 00:00:00, 'estMaxDate': 1410-12-31 00:00:00}",,,Kalinke & Mitchell 1985,ca. 1400,[],,,[],,[],[],,Open,9698,
46361,105,46322.0,[46407],,No,9483,,,,H98,[],fragmentary,9544,,No,9483,46305.0,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1341-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1410-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': conjecture, 'estProfile': central, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1341-01-01 00:00:00, 'estMaxDate': 1410-12-31 00:00:00}",2. Probable (33%-66%),9763.0,,,[],,,[],,[],[],,Action required,9697,Add references.
46364,105,46323.0,[47247],,No,9483,,,,H39,[],fragmentary,9544,,No,9483,46312.0,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1341-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1410-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': conjecture, 'estProfile': central, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1341-01-01 00:00:00, 'estMaxDate': 1410-12-31 00:00:00}",2. Probable (33%-66%),9763.0,"Klein 1995, p. 15",XIV2,[],,,[],,[47483],[https://www.handschriftencensus.de/22382],,Action required,9697,Check
46368,105,46333.0,"[46376, 46373]",,No,9483,,,,H1 (Kienhorst),[],fragmentary,9544,,No,9483,46335.0,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1181-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1200-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': conjecture, 'estProfile': central, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1181-01-01 00:00:00, 'estMaxDate': 1200-12-31 00:00:00}",2. Probable (33%-66%),9763.0,"Klein 1995, p. 13","""< 1200""",[],,,[],,[],[],,Action required,9697,Add references
46395,105,46394.0,[46404],,No,9483,,,,A586,[],defective,9546,"""Efter bl. 20 findes en lakune. Ved sagaens slutning ere nogle ord udraderede."" (Kålund, Cat I, p. 748)",No,9483,,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1401-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1500-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': conjecture, 'estProfile': slowStart, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1401-01-01 00:00:00, 'estMaxDate': 1500-12-31 00:00:00}",,,,"Kålund, Cat: 15th cent.",[],,,[],,[],[],,Open,9698,
46402,105,46392.0,[46406],,No,9483,,,,H2,[],fragmentary,9544,,No,9483,46312.0,"Caers (2011), p. 230","{'comment': NULL, 'value': NULL, 'start': {'earliest': 1341-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1360-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': conjecture, 'estProfile': central, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1341-01-01 00:00:00, 'estMaxDate': 1360-12-31 00:00:00}",2. Probable (33%-66%),9763.0,"Klein (1995), p. 15","""XIVm""",[],,,[],,[],[],,Action required,9697,Add ref
46410,105,46394.0,[46411],,No,9483,,,,A577,[],defective,9546,"Ender defekt „enn fanga stackurinn var"" ; efter bl. 72 og 74 findes lakuner. (Kålund, Cat, p. 739)",No,9483,,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1476-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1500-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': conjecture, 'estProfile': slowStart, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1476-01-01 00:00:00, 'estMaxDate': 1500-12-31 00:00:00}",,,,"15 årh. slutning (Kålund, I:739.)",[],,,[],,[],[],Kåliund Cat.,Open,9698,
47238,105,46323.0,[47242],,No,9483,,,,H40,[],fragmentary,9544,,No,9483,47240.0,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1366-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1410-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': conjecture, 'estProfile': central, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1366-01-01 00:00:00, 'estMaxDate': 1410-12-31 00:00:00}",2. Probable (33%-66%),9763.0,"Klein (1995), p. 16.",' XIVd',[],,,[],,[47483],[https://www.handschriftencensus.de/22384],,Action required,9697,Check
